,Calorie,Cook_time_all,Cuisine,OriginalIngredients,People_made_it,Rating,Ready_time,Review,Serve_size,index,title,Preparation_time,Cook_time,Total_time,Ingredients,Merge_recipes
10,656.0,"['Prep time: 15 Minutes', 'Cook time: 30 Minutes', 'Ready in 45 Minutes']",Italian,"['1 (12 ounce) package bow tie pasta', '2 tablespoons olive oil', '1 pound sweet Italian sausage, casings removed and crumbled', '1/2 teaspoon red pepper flakes', '1/2 cup diced onion', '3 cloves garlic, minced', '1 (28 ounce) can Italian-style plum tomatoes, drained and coarsely chopped', '1 1/2 cups heavy cream', '1/2 teaspoon salt', '3 tablespoons minced fresh parsley']",6000.0,4.69031429290771,45 m,2000.0,6,10.0,"Bow Ties with Sausage, Tomatoes and Cream",15.0,30.0,45.0,  ounce package bow tie pasta  tablespoons olive oil  pound sweet Italian sausage  casings removed and crumbled  teaspoon red pepper flakes  cup diced onion  cloves garlic  minced   ounce can Italian style plum tomatoes  drained and coarsely chopped   cups heavy cream  teaspoon salt  tablespoons minced fresh parsl,Europian
11,487.0,"['Prep time: 25 Minutes', 'Cook time: 35 Minutes', 'Ready in 1 Hour ']",Italian,"['3 eggplant, peeled and thinly sliced', '2 eggs, beaten', '4 cups Italian seasoned bread crumbs', '6 cups spaghetti sauce, divided', '1 (16 ounce) package mozzarella cheese, shredded and divided', '1/2 cup grated Parmesan cheese, divided', '1/2 teaspoon dried basil']",4000.0,4.4532351493835405,1 h,2000.0,10,11.0,Eggplant Parmesan II,25.0,35.0,60.0, eggplant  peeled and thinly sliced  eggs  beaten  cups Italian seasoned bread crumbs  cups spaghetti sauce  divided   ounce package mozzarella cheese  shredded and divided  cup grated Parmesan cheese  divided  teaspoon dried bas,Europian
12,349.0,"['Prep time: 20 Minutes', 'Cook time: 2 Hours ', 'Ready in 2 Hours 20 Minutes']",Italian,"['1 pound lean ground beef', '1 cup fresh bread crumbs', '1 tablespoon dried parsley', '1 tablespoon grated Parmesan cheese', '1/4 teaspoon ground black pepper', '1/8 teaspoon garlic powder', '1 egg, beaten', '3/4 cup chopped onion', '5 cloves garlic, minced', '1/4 cup olive oil', '2 (28 ounce) cans whole peeled tomatoes', '2 teaspoons salt', '1 teaspoon white sugar', '1 bay leaf', '1 (6 ounce) can tomato paste', '3/4 teaspoon dried basil', '1/2 teaspoon ground black pepper']",4000.0,4.52666282653809,2 h 20 m,2000.0,6,12.0,Italian Spaghetti Sauce with Meatballs,20.0,120.0,140.0, pound lean ground beef  cup fresh bread crumbs  tablespoon dried parsley  tablespoon grated Parmesan cheese  teaspoon ground black pepper  teaspoon garlic powder  egg  beaten  cup chopped onion  cloves garlic  minced  cup olive oil   ounce cans whole peeled tomatoes  teaspoons salt  teaspoon white sugar  bay leaf   ounce can tomato paste  teaspoon dried basil  teaspoon ground black pepp,Europian
13,471.0,"['Prep time: 25 Minutes', 'Cook time: 20 Minutes', 'Ready in 1 Hour ']",Italian,"['4 skinless, boneless chicken breast halves', 'salt and freshly ground black pepper to taste', '2 eggs', '1 cup panko bread crumbs, or more as needed', '1/2 cup grated Parmesan cheese', '2 tablespoons all-purpose flour, or more if needed', '1 cup olive oil for frying', '1/2 cup prepared tomato sauce', '1/4 cup fresh mozzarella, cut into small cubes', '1/4 cup chopped fresh basil', '1/2 cup grated provolone cheese', '1/4 cup grated Parmesan cheese', '1 tablespoon olive oil']",8000.0,4.81832027435303,1 h,2000.0,4,13.0,Chicken Parmesan,25.0,20.0,45.0, skinless  boneless chicken breast halves salt and freshly ground black pepper to taste  eggs  cup panko bread crumbs  or more as needed  cup grated Parmesan cheese  tablespoons all purpose flour  or more if needed  cup olive oil for frying  cup prepared tomato sauce  cup fresh mozzarella  cut into small cubes  cup chopped fresh basil  cup grated provolone cheese  cup grated Parmesan cheese  tablespoon olive o,Europian
14,385.0,"['Prep time: 10 Minutes', 'Cook time: 40 Minutes', 'Ready in 50 Minutes']",Italian,"['1 pound Italian sausage', '1 clove garlic, minced', '2 (14 ounce) cans beef broth', '1 (14.5 ounce) can Italian-style stewed tomatoes', '1 cup sliced carrots', '1 (14.5 ounce) can great Northern beans, undrained', '2 small zucchini, cubed', '2 cups spinach - packed, rinsed and torn', '1/4 teaspoon ground black pepper', '1/4 teaspoon salt']",4000.0,4.80855703353882,50 m,2000.0,6,14.0,Italian Sausage Soup,10.0,40.0,50.0, pound Italian sausage  clove garlic  minced   ounce cans beef broth   ounce can Italian style stewed tomatoes  cup sliced carrots   ounce can great Northern beans  undrained  small zucchini  cubed  cups spinach   packed  rinsed and torn  teaspoon ground black pepper  teaspoon sa,Europian
15,215.0,"['Prep time: 15 Minutes', 'Cook time: 7 Minutes', 'Ready in 35 Minutes']",Italian,"['6 roma (plum) tomatoes, chopped', '1/2 cup sun-dried tomatoes, packed in oil', '3 cloves minced garlic', '1/4 cup olive oil', '2 tablespoons balsamic vinegar', '1/4 cup fresh basil, stems removed', '1/4 teaspoon salt', '1/4 teaspoon ground black pepper', '1 French baguette', '2 cups shredded mozzarella cheese']",2000.0,4.8243508338928205,35 m,2000.0,12,15.0,Double Tomato Bruschetta,15.0,7.0,22.0, roma plum tomatoes  chopped  cup sun dried tomatoes  packed in oil  cloves minced garlic  cup olive oil  tablespoons balsamic vinegar  cup fresh basil  stems removed  teaspoon salt  teaspoon ground black pepper  French baguette  cups shredded mozzarella chee,Europian
16,400.0,"['Prep time: 15 Minutes', 'Cook time: 40 Minutes', 'Ready in 55 Minutes']",Italian,"['1/2 cup butter', '4 cloves garlic, minced', '3/4 cup dry bread crumbs', '1/2 cup freshly grated Parmesan cheese', '1 1/2 cups shredded Cheddar cheese', '1/4 teaspoon dried parsley', '1/4 teaspoon dried oregano', '1/4 teaspoon ground black pepper', '1/8 teaspoon salt', '8 skinless, boneless chicken breast halves - pounded thin']",4000.0,4.612191200256349,55 m,2000.0,8,16.0,Garlic Cheddar Chicken,15.0,40.0,55.0, cup butter  cloves garlic  minced  cup dry bread crumbs  cup freshly grated Parmesan cheese   cups shredded Cheddar cheese  teaspoon dried parsley  teaspoon dried oregano  teaspoon ground black pepper  teaspoon salt  skinless  boneless chicken breast halves   pounded th,Europian
17,431.0,"['Prep time: 20 Minutes', 'Cook time: 30 Minutes', 'Ready in 50 Minutes']",Italian,"['6 cups chicken broth, divided', '3 tablespoons olive oil, divided', '1 pound portobello mushrooms, thinly sliced', '1 pound white mushrooms, thinly sliced', '2 shallots, diced', '1 1/2 cups Arborio rice', '1/2 cup dry white wine', 'sea salt to taste', 'freshly ground black pepper to taste', '3 tablespoons finely chopped chives', '4 tablespoons butter', '1/3 cup freshly grated Parmesan cheese']",4000.0,4.796093940734861,50 m,2000.0,6,17.0,Gourmet Mushroom Risotto,20.0,30.0,50.0, cups chicken broth  divided  tablespoons olive oil  divided  pound portobello mushrooms  thinly sliced  pound white mushrooms  thinly sliced  shallots  diced   cups Arborio rice  cup dry white wine sea salt to taste freshly ground black pepper to taste  tablespoons finely chopped chives  tablespoons butter  cup freshly grated Parmesan chee,Europian
18,554.0,"['Prep time: 25 Minutes', 'Cook time: 1 Hour ', 'Ready in 1 Hour 25 Minutes']",Italian,"['1 pound bulk mild Italian sausage', '1 1/4 teaspoons crushed red pepper flakes', '4 slices bacon, cut into 1/2 inch pieces', '1 large onion, diced', '1 tablespoon minced garlic', '5 (13.75 ounce) cans chicken broth', '6 potatoes, thinly sliced', '1 cup heavy cream', '1/4 bunch fresh spinach, tough stems removed']",5000.0,4.81765127182007,1 h 25 m,2000.0,6,18.0,Super-Delicious Zuppa Toscana,25.0,60.0,85.0, pound bulk mild Italian sausage   teaspoons crushed red pepper flakes  slices bacon  cut into  inch pieces  large onion  diced  tablespoon minced garlic   ounce cans chicken broth  potatoes  thinly sliced  cup heavy cream  bunch fresh spinach  tough stems remov,Europian
19,112.0,"['Prep time: 10 Minutes', 'Cook time: 25 Minutes', 'Ready in 35 Minutes']",Italian,"['3 cups all-purpose flour', '1 (.25 ounce) package active dry yeast', '2 tablespoons vegetable oil', '1 teaspoon salt', '1 tablespoon white sugar', '1 cup warm water (110 degrees F/45 degrees C)']",3000.0,4.4394211769104,35 m,2000.0,15,19.0,Pizza Dough I,10.0,25.0,35.0, cups all purpose flour   ounce package active dry yeast  tablespoons vegetable oil  teaspoon salt  tablespoon white sugar  cup warm water  degrees F degrees ,Europian
20,89.0,"['Prep time: 10 Minutes', 'Ready in 40 Minutes']",Italian,"['1 (6 ounce) can tomato paste', '6 fluid ounces warm water (110 degrees F/45 degrees C)', '3 tablespoons grated Parmesan cheese', '1 teaspoon minced garlic', '2 tablespoons honey', '1 teaspoon anchovy paste (optional)', '3/4 teaspoon onion powder', '1/4 teaspoon dried oregano', '1/4 teaspoon dried marjoram', '1/4 teaspoon dried basil', '1/4 teaspoon ground black pepper', '1/8 teaspoon cayenne pepper', '1/8 teaspoon dried red pepper flakes', 'salt to taste']",2000.0,4.54932165145874,40 m,2000.0,4,20.0,Exquisite Pizza Sauce,10.0,40.0,50.0,  ounce can tomato paste  fluid ounces warm water  degrees F degrees C  tablespoons grated Parmesan cheese  teaspoon minced garlic  tablespoons honey  teaspoon anchovy paste optional  teaspoon onion powder  teaspoon dried oregano  teaspoon dried marjoram  teaspoon dried basil  teaspoon ground black pepper  teaspoon cayenne pepper  teaspoon dried red pepper flakes salt to tas,Europian
21,641.0,"['Prep time: 10 Minutes', 'Cook time: 20 Minutes', 'Ready in 30 Minutes']",Italian,"['1 tablespoon butter', '2 cloves garlic, minced', '1/2 cup sun-dried tomatoes, chopped', '1 cup chicken broth, divided', '1 cup heavy cream', '1 pound skinless, boneless chicken breast halves', 'salt and pepper to taste', '2 tablespoons vegetable oil', '2 tablespoons chopped fresh basil', '8 ounces dry fettuccini pasta']",3000.0,4.6235203742981,30 m,1000.0,4,21.0,Chicken Milano,10.0,20.0,30.0, tablespoon butter  cloves garlic  minced  cup sun dried tomatoes  chopped  cup chicken broth  divided  cup heavy cream  pound skinless  boneless chicken breast halves salt and pepper to taste  tablespoons vegetable oil  tablespoons chopped fresh basil  ounces dry fettuccini pas,Europian
22,664.0,"['Prep time: 30 Minutes', 'Cook time: 1 Hour 15 Minutes', 'Ready in 1 Hour 55 Minutes']",Italian,"['1 1/2 pounds lean ground beef', '1 onion, chopped', '2 cloves garlic, minced', '1 tablespoon chopped fresh basil', '1 teaspoon dried oregano', '2 tablespoons brown sugar', '1 1/2 teaspoons salt', '1 (29 ounce) can diced tomatoes', '2 (6 ounce) cans tomato paste', '12 dry lasagna noodles', '2 eggs, beaten', '1 pint part-skim ricotta cheese', '1/2 cup grated Parmesan cheese', '2 tablespoons dried parsley', '1 teaspoon salt', '1 pound mozzarella cheese, shredded', '2 tablespoons grated Parmesan cheese']",2000.0,4.68204355239868,1 h 55 m,1000.0,8,22.0,American Lasagna,30.0,75.0,105.0,  pounds lean ground beef  onion  chopped  cloves garlic  minced  tablespoon chopped fresh basil  teaspoon dried oregano  tablespoons brown sugar   teaspoons salt   ounce can diced tomatoes   ounce cans tomato paste  dry lasagna noodles  eggs  beaten  pint part skim ricotta cheese  cup grated Parmesan cheese  tablespoons dried parsley  teaspoon salt  pound mozzarella cheese  shredded  tablespoons grated Parmesan chee,Europian
23,318.0,"['Prep time: 15 Minutes', 'Cook time: 12 Hours ', 'Ready in 12 Hours 15 Minutes']",Italian,"['3 cups water', '1 teaspoon salt', '1 teaspoon ground black pepper', '1 teaspoon dried oregano', '1 teaspoon dried basil', '1 teaspoon onion salt', '1 teaspoon dried parsley', '1 teaspoon garlic powder', '1 bay leaf', '1 (.7 ounce) package dry Italian-style salad dressing mix', '1 (5 pound) rump roast']",3000.0,4.63087224960327,12 h 15 m,1000.0,10,23.0,Slow Cooker Italian Beef for Sandwiches,15.0,720.0,735.0, cups water  teaspoon salt  teaspoon ground black pepper  teaspoon dried oregano  teaspoon dried basil  teaspoon onion salt  teaspoon dried parsley  teaspoon garlic powder  bay leaf   ounce package dry Italian style salad dressing mix   pound rump roa,Europian
24,324.0,"['Prep time: 20 Minutes', 'Cook time: 1 Hour 15 Minutes', 'Ready in 1 Hour 35 Minutes']",Italian,"['1 pound sweet Italian sausage, casings removed', '1 cup chopped onion', '2 cloves garlic, minced', '5 cups beef broth', '1/2 cup water', '1/2 cup red wine', '4 large tomatoes - peeled, seeded and chopped', '1 cup thinly sliced carrots', '1/2 tablespoon packed fresh basil leaves', '1/2 teaspoon dried oregano', '1 (8 ounce) can tomato sauce', '1 1/2 cups sliced zucchini', '8 ounces fresh tortellini pasta', '3 tablespoons chopped fresh parsley']",3000.0,4.82467269897461,1 h 35 m,1000.0,8,24.0,Italian Sausage Soup with Tortellini,20.0,75.0,95.0, pound sweet Italian sausage  casings removed  cup chopped onion  cloves garlic  minced  cups beef broth  cup water  cup red wine  large tomatoes   peeled  seeded and chopped  cup thinly sliced carrots  tablespoon packed fresh basil leaves  teaspoon dried oregano   ounce can tomato sauce   cups sliced zucchini  ounces fresh tortellini pasta  tablespoons chopped fresh parsl,Europian
25,299.0,"['Prep time: 5 Minutes', 'Cook time: 1 Hour ', 'Ready in 3 Hours 5 Minutes']",Italian,"['2 tablespoons steak seasoning rub', '1/2 cup balsamic vinegar', '1/2 cup olive oil', '2 pounds boneless pork loin roast']",4000.0,4.58741807937622,3 h 5 m,1000.0,8,25.0,Balsamic Roasted Pork Loin,5.0,60.0,65.0, tablespoons steak seasoning rub  cup balsamic vinegar  cup olive oil  pounds boneless pork loin roa,Europian
26,227.0,"['Prep time: 35 Minutes', 'Cook time: 50 Minutes', 'Ready in 1 Hour 25 Minutes']",Italian,"['3 tablespoons olive oil', '3 cloves garlic, chopped', '2 onions, chopped', '2 cups chopped celery', '5 carrots, sliced', '2 cups chicken broth', '2 cups water', '4 cups tomato sauce', '1/2 cup red wine (optional)', '1 cup canned kidney beans, drained', '1 (15 ounce) can green beans', '2 cups baby spinach, rinsed', '3 zucchinis, quartered and sliced', '1 tablespoon chopped fresh oregano', '2 tablespoons chopped fresh basil', 'salt and pepper to taste', '1/2 cup seashell pasta', '2 tablespoons grated Parmesan cheese for topping', '1 tablespoon olive oil']",2000.0,4.724565982818599,1 h 25 m,1000.0,8,26.0,Jamie's Minestrone,35.0,50.0,85.0, tablespoons olive oil  cloves garlic  chopped  onions  chopped  cups chopped celery  carrots  sliced  cups chicken broth  cups water  cups tomato sauce  cup red wine optional  cup canned kidney beans  drained   ounce can green beans  cups baby spinach  rinsed  zucchinis  quartered and sliced  tablespoon chopped fresh oregano  tablespoons chopped fresh basil salt and pepper to taste  cup seashell pasta  tablespoons grated Parmesan cheese for topping  tablespoon olive o,Europian
27,519.0,"['Prep time: 30 Minutes', 'Cook time: 10 Minutes', 'Ready in 40 Minutes']",Italian,"['2 tomatoes, seeded and coarsely chopped', '1 teaspoon salt', '8 ounces shredded mozzarella cheese', '1 red onion, coarsely chopped', '1/4 cup chopped fresh basil', '1/2 teaspoon ground black pepper', '2 tablespoons olive oil', '3 fresh jalapeno peppers, chopped (optional)', '1/2 cup sliced black olives', '1/2 cup sliced fresh mushrooms', '1/2 cup pizza sauce', '2 (12 inch) pre-baked pizza crusts', '8 ounces shredded mozzarella cheese', '1/4 cup grated Parmesan cheese']",28.0,4.69444465637207,40 m,26.0,8,27.0,Easy Tomato-Basil Pizza,30.0,10.0,40.0, tomatoes  seeded and coarsely chopped  teaspoon salt  ounces shredded mozzarella cheese  red onion  coarsely chopped  cup chopped fresh basil  teaspoon ground black pepper  tablespoons olive oil  fresh jalapeno peppers  chopped optional  cup sliced black olives  cup sliced fresh mushrooms  cup pizza sauce   inch pre baked pizza crusts  ounces shredded mozzarella cheese  cup grated Parmesan chee,Europian
28,520.0,"['Prep time: 15 Minutes', 'Cook time: 1 Hour 5 Minutes', 'Ready in 1 Hour 20 Minutes']",Italian,"['1/4 cup olive oil, divided', '1 onion, diced', '1/4 cup all-purpose flour', '1/2 teaspoon salt', '1/4 teaspoon freshly ground black pepper', '8 chicken thighs', '1/2 cup dry white wine', '2 (14.5 ounce) cans diced tomatoes', '2 teaspoons tomato paste', '1/4 teaspoon white sugar, or more to taste', 'salt and ground black pepper to taste', '1/2 cup chicken broth, or more as needed', '1/2 cup black olives, pitted', '1 tablespoon chopped fresh parsley', '1 tablespoon torn basil leaves']",12.0,5.0,1 h 20 m,4.0,4,28.0,Italian Chicken Cacciatore ,15.0,65.0,80.0, cup olive oil  divided  onion  diced  cup all purpose flour  teaspoon salt  teaspoon freshly ground black pepper  chicken thighs  cup dry white wine   ounce cans diced tomatoes  teaspoons tomato paste  teaspoon white sugar  or more to taste salt and ground black pepper to taste  cup chicken broth  or more as needed  cup black olives  pitted  tablespoon chopped fresh parsley  tablespoon torn basil leav,Europian
29,806.0,"['Prep time: 5 Minutes', 'Cook time: 18 Minutes', 'Ready in 23 Minutes']",Italian,"['1 pound spaghetti', '6 tablespoons olive oil', '2 cloves garlic, minced', '2 teaspoons ground black pepper', '1 3/4 cups grated Pecorino Romano cheese']",758.0,4.56650257110596,23 m,163.0,4,29.0,Spaghetti Cacio e Pepe,5.0,18.0,23.0, pound spaghetti  tablespoons olive oil  cloves garlic  minced  teaspoons ground black pepper   cups grated Pecorino Romano chee,Europian
30,289.0,"['Prep time: 20 Minutes', 'Cook time: 36 Minutes', 'Ready in 56 Minutes']",Italian,"['2 stalks stalk celery, chopped into 1/4-inch pieces', '1/2 cup olive oil', '1 onion, thinly sliced', '1 medium eggplant, chopped into bite-size pieces', '2 red bell peppers, thinly sliced', '2 zucchini, cubed', '1 3/4 cups tomato puree (passata)', '1/2 cup white vinegar', '1 tablespoon white sugar', '10 black olives, pitted', '2 tablespoons raisins', '2 tablespoons pine nuts', '1 teaspoon capers', 'salt and ground black pepper to taste', '10 leaves basil, chopped']",8.0,4.66666650772095,56 m,3.0,6,30.0,Easy Caponata,20.0,36.0,56.0, stalks stalk celery  chopped into  inch pieces  cup olive oil  onion  thinly sliced  medium eggplant  chopped into bite size pieces  red bell peppers  thinly sliced  zucchini  cubed   cups tomato puree passata  cup white vinegar  tablespoon white sugar  black olives  pitted  tablespoons raisins  tablespoons pine nuts  teaspoon capers salt and ground black pepper to taste  leaves basil  chopp,Europian
31,94.0,"['Prep time: 10 Minutes', 'Ready in 3 Hours 10 Minutes']",Italian,"['4 cups cold water', '7/8 cup white sugar', '2 tablespoons lemon zest', '1 cup freshly squeezed lemon juice', '1 teaspoon lemon extract']",61.0,4.66666650772095,3 h 10 m,11.0,8,31.0,Chef John's Lemon Ice,10.0,190.0,200.0, cups cold water  cup white sugar  tablespoons lemon zest  cup freshly squeezed lemon juice  teaspoon lemon extra,Europian
32,186.0,"['Prep time: 40 Minutes', 'Cook time: 15 Minutes', 'Ready in 1 Hour 55 Minutes']",Italian,"['2 cups all-purpose flour', '1/2 cup cold water', '2 tablespoons cold water', '1 tablespoon extra-virgin olive oil', '3/4 teaspoon fine salt', '1 quarter-sheet baking pan', '1 teaspoon extra-virgin olive oil', '1 teaspoon cornmeal', '12 tablespoons crescenza-stracchino cheese, divided', '4 teaspoons extra-virgin olive oil, divided', '1/4 teaspoon coarse sea salt, divided']",26.0,4.59999990463257,1 h 55 m,17.0,8,32.0,Focaccia di Recco,40.0,15.0,55.0, cups all purpose flour  cup cold water  tablespoons cold water  tablespoon extra virgin olive oil  teaspoon fine salt  quarter sheet baking pan  teaspoon extra virgin olive oil  teaspoon cornmeal  tablespoons crescenza stracchino cheese  divided  teaspoons extra virgin olive oil  divided  teaspoon coarse sea salt  divid,Europian
